flat_type,price,address,buildup_area,avg_price_sqft,age_of_property,possesion_status,which_floor,facing,furnicing,project_name,brokrage,carpet_area,bedrooms,bathrooms,balcony,parking,about_property
3 BHK Flat,4.3 Cr,"Lodha Fiorenza, Cama Industrial Estate, Goregaon East, Mumbai",1300 sq.ft,₹33.08 K/sq.ft,7 Year Old,Ready to move,Higherof 46 floors,Semi Furnished,,Lodha Fiorenza,4.4 Lacs(Negotiable)Access Zero Brokerage Properties,1084 sq.ft,3,3,3,1 Covered Parking,"Imagine waking up every morning to a stunning pool view from your apartment.
Now, you can turn this dream into reality with this 2 BHK apartment for rent in Goregaon East, Mumbai.
Located in the prestigious Lodha Fiorenza project, this beautifully fuRead More"
4 BHK Flat,4.5 Cr,"Thakur Jewel Tower, Thakur Village, Kandivali East, Mumbai",2480 sq.ft,₹18.14 K/sq.ft,10 Year Old,Ready to move,Lowerof 22 floors,Unfurnished,,Thakur Jewel Tower,4.8 LacsAccess Zero Brokerage Properties,1600 sq.ft,4,4,No Balcony,2 Covered Parking,"Property for sale in Kandivali East, Mumbai. This 4 BHK Flat is located in Mumbai's most promising location. It is on floor 2. The total number of floors in this building is 22. This Flat's price is Rs 4.5 Cr. Homebuyers will also need to pay Rs 1200Read More"
1 RK Flat,33.2 L,"Jankalyan Nagar, Malad West, Mumbai",300 sq.ft,₹11.07 K/sq.ft,10 Year Old,Ready to move,Middleof 7 floors,Unfurnished,,New Madha,"32,000Access Zero Brokerage Properties",190 sq.ft,1,2,No Balcony,1 Covered and 1 Open Parking,"Property for sale in Malad West, Mumbai. This 1 RK Flat is located in Mumbai's most promising location. It is on floor 4. The total number of floors in this building is 7. This Flat's price is Rs 33.2 L. This Flat is a spacious unit, with carpet areaRead More"
2 BHK Flat,2.1 Cr,"godrej hill side colony, Godrej Hillside Colony, Vikhroli West, Mumbai",900 sq.ft,₹23.33 K/sq.ft,14 Year Old,Ready to move,Higherof 33 floors,Fully Furnished,,2.1 LacsAccess Zero Brokerage Properties,2.1 Cr,2,2,3,8 days ago,1 Covered Parking,"A 2 BHK Flat for sale in Vikhroli West, Mumbai. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Vikhroli West's most desired properties. Contact now for more information. This 2 BHK unit is on floor 23. There are 33 flRead More"
2 BHK Flat,75.0 L,"Aarey Colony, Goregaon East, Mumbai",870 sq.ft,₹8.62 K/sq.ft,13 Year Old,Ready to move,Higherof 21 floors,,,Golden Isle,No ChargeAccess Zero Brokerage Properties,580 sq.ft,2,2,No Balcony,No Parking,"Looking for a good 2 BHK Flat in Goregaon East, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 20. Total number of floors is 21. Maintenance charges of this property is Rs 2200. This Flat is available forRead More"
2 BHK Flat,1.8 Cr,"KALINA NX SANTACRUZ, Vakola, Santacruz East, Mumbai",1100 sq.ft,₹16.36 K/sq.ft,2 Year Old,Ready to move,Higherof 9 floors,Semi Furnished,,1.8 LacsAccess Zero Brokerage Properties,1.8 Cr,2,2,1,13 days ago,1 Covered and 1 Open Parking,"READY TO MOVE IN BUILDING
OC RECIEVED BUILDING
BUILDING WITH ALL AMENITIES
ONE CAR PARK WITH APARTMENT
24*7 WATER SUPPLY
10 MINS AWAY FROM BKC
15 MINS AWAY FROM SANTACRUZ STATION
GATED SOCIETY More About This Property 2 BHK Flat for sale in SantacruzRead More"
2 BHK Flat,2.65 Cr,"Ratnakar apartment, SV Patel Nagar, Andheri West, Mumbai",1000 sq.ft,₹26.50 K/sq.ft,15 Year Old,Ready to move,Lowerof 7 floors,Fully Furnished,,2.6 LacsAccess Zero Brokerage Properties,2.65 Cr,2,2,1,22 days ago,1 Open Parking,2 bhk in Ratnakar panchmarg very nice flat we have many more options as per ur budget as per choice contact us more details I have 1 bhk/2bhk/3 bhk panch Marg is very peaceful locality in Andheri West  More About This Property Looking for a 2 BHK FlaRead More
1 BHK Flat,1.3 Cr,"Mumbai Port Trust, Mazgaon, Mumbai",580 sq.ft,₹22.41 K/sq.ft,1 Years Old,Ready to move,Middleof 23 floors,Semi Furnished,,Bay View,1.3 LacsAccess Zero Brokerage Properties,386 sq.ft,1,1,No Balcony,No Parking,One of the finest property in Mazgaon is now available for sale. This is a 1 BHK Flat. Make it yours now. It is on floor 10. It is a 23 storeyed building. The price of this Flat is Rs 1.3 Cr. Other charges when you move into this property include maiRead More
1 BHK Flat,34.5 L,"Mahindra Happinest Boisar Phase 2, Betegaon, Boisar, Mumbai",540 sq.ft,₹6.39 K/sq.ft,1 Years Old,Ready to move,Higherof 14 floors,Unfurnished,,Mahindra Happinest Boisar Phase 2,"69,000Access Zero Brokerage Properties",364 sq.ft,1,1,No Balcony,1 Covered and 1 Open Parking,"Mahindra Happinest Kalyan Project is Situated on the Bhiwandi-Kalyan Corridor and near the proposed Rajnouli metro station on the upcoming Thane-Bhiwandi-Kalyan Metro 5 route±, Happinest Kalyan will be well-connected to all major hubs across Mumbai. Read More"
1 BHK Flat,40.0 L,"Samel Pada, Nalasopara West, Mumbai",1116 sq.ft,₹3.58 K/sq.ft,15 Year Old,Ready to move,Lowerof 3 floors,,,Shreeji Arcade III,No ChargeAccess Zero Brokerage Properties,770 sq.ft,1,1,1,1 Open Parking,"Best 1 BHK Flat for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Nalasopara West. It is situated on floor 1. The total number of floors in this Flat is 3. The property price of thiRead More"
5 BHK Flat,9.25 Cr,"Shastri Nagar, Andheri West, Mumbai",2600 sq.ft,₹35.58 K/sq.ft,12 Year Old,Ready to move,Higherof 28 floors,Fully Furnished,,9.3 LacsAccess Zero Brokerage Properties,9.25 Cr,5,5,No Balcony,14 days ago,2 Covered Parking,A lavishly furnished ready to move HOME in a lavishly huge apartment with panoramic view of the city and its coasts and creeks in the middle of the most desired locality of Andheri West… 24x7 breeze is completely free of cost in this three sides openRead More
4 BHK Flat,17.5 Cr,"Prabhadevi , Century Bazaar, Prabhadevi, Mumbai",3500 sq.ft,₹50 K/sq.ft,7 Year Old,Ready to move,Lowerof 26 floors,Semi Furnished,,16.0 Lacs(Negotiable)Access Zero Brokerage Properties,17.5 Cr,4,4,1,17 days ago,3 Covered Parking,One of the finest property in Prabhadevi is now available for sale. This is a 4 BHK Flat. Make it yours now. It is on floor 2. It is a 26 storeyed building. The price of this Flat is Rs 17.5 Cr. Other charges when you move into this property include Read More
1 BHK Flat,1.15 Cr,"Andheri CHS, Bhudargarh Colony, Andheri West, Mumbai",600 sq.ft,₹19.17 K/sq.ft,30 Year Old,Ready to move,Higherof 4 floors,Fully Furnished,,Andheri CHS,1.1 LacsAccess Zero Brokerage Properties,470 sq.ft,1,2,1,1 Open Parking,"1 bhk fully Furnished ready to move without lift 3rd floor future redevelopment best for investment call for inspection  More About This Property Looking for a good 1 BHK Flat in Andheri West, Mumbai? This property is in one of Mumbai's most popular Read More"
3 BHK Flat,3.5 Cr,"SD The Lumiere, SV Patel Nagar, Andheri West, Mumbai",1900 sq.ft,₹18.42 K/sq.ft,2 Year Old,Ready to move,Middleof 18 floors,Unfurnished,,SD The Lumiere,3.5 LacsAccess Zero Brokerage Properties,1180 sq.ft,3,3,No Balcony,1 Covered Parking,"a very peace full location all around greenery, spacious 3bhk un-furnished nicely done up , along with one car parking. joggers park near by apartment. famous gym near by. there is no power cut, 24hrs water supply. More About This Property 3 BHK FlatRead More"
1 BHK Flat,1.32 Cr,"Sheth Vasant Oasis, Marol, Andheri East, Mumbai",710 sq.ft,₹18.59 K/sq.ft,5 Year Old,Ready to move,Higherof 22 floors,Unfurnished,,Sheth Vasant Oasis,1.0 LacAccess Zero Brokerage Properties,430 sq.ft,1,2,No Balcony,1 Covered Parking,"Best 1 BHK Flat for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Andheri East. It is situated on floor 15. The total number of floors in this Flat is 22. The property price of thisRead More"
2 BHK Flat,2.0 Cr,"Lokhandwala Spring Leaf, Lokhandwala Township, Kandivali East, Mumbai",1010 sq.ft,₹19.80 K/sq.ft,12 Year Old,Ready to move,Higherof 14 floors,Fully Furnished,,Lokhandwala Spring Leaf,2.0 LacsAccess Zero Brokerage Properties,740 sq.ft,2,2,3,1 Covered Parking,2bhk sale Spring Leaf Tower lokhandwala township kandivali east with all amenities like swimming pool gym club house children's play area near all close market school hospital bank  Atm 10 min drive kandivali stn more details pls contact More About TRead More
2 BHK Flat,2.0 Cr,"Bhim prerana, Sant Dnyaneshwar Nagar, Bandra East, Mumbai",930 sq.ft,₹21.50 K/sq.ft,10 Year Old,Ready to move,Lowerof 15 floors,,,2.0 LacsAccess Zero Brokerage Properties,2.0 Cr,2,2,No Balcony,8 days ago,1 Covered Parking,"2 BHK Flat for sale in Bandra East, Mumbai with modern-day amenities. The Flat is in Bandra East which is a promising investment destination in Mumbai. This might be your chance to grab the best 2 BHK property for sale in Bandra East. The property isRead More"
1 BHK Flat,90.0 L,"Hiral Legacy, Gandhi Nagar, Kandivali West, Mumbai",700 sq.ft,₹12.86 K/sq.ft,2 Year Old,Ready to move,Middleof 13 floors,Unfurnished,,Hiral Legacy,"90,000(Negotiable)Access Zero Brokerage Properties",440 sq.ft,1,2,No Balcony,1 Open Parking,"Looking for a 1 BHK Flat for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Kandivali West. It is on floor 5 out of 13 floors. This Flat is available at a reasonable price of Rs 90.0 L. Maintenance chargesRead More"
1 BHK Flat,27.0 L,"Royal Plaza, Morya Nagar, Nalasopara West, Mumbai",545 sq.ft,₹4.95 K/sq.ft,5 Year Old,Ready to move,Lowerof 7 floors,,,Royal Plaza,"54,000Access Zero Brokerage Properties",325 sq.ft,1,1,2,1 Open Parking,"1 BHK Flat for sale in Nalasopara West, Mumbai with modern-day amenities. The Flat is in Nalasopara West which is a promising investment destination in Mumbai. This might be your chance to grab the best 1 BHK property for sale in Nalasopara West. TheRead More"
5 BHK Flat,25.0 Cr,"Hiranandani Richmond, Hiranandani Gardens, Powai, Mumbai",4925 sq.ft,₹50.76 K/sq.ft,10 Year Old,Ready to move,Middleof 24 floors,Semi Furnished,,Hiranandani Richmond,25.0 LacsAccess Zero Brokerage Properties,3800 sq.ft,5,6,2,3 Covered Parking,"Richmond, by Hiranandani Developers is the perfect choice for those looking for a luxury apartment in Hiranandani Gardens Powai, Mumbai. With its spacious apartments, top-of-the-line amenities, and stunning design, Richmond is sure to impress even thRead More"
3 BHK Flat,2.75 Cr,"DGS Sheetal Airwing, Kalina, Santacruz East, Mumbai",900 sq.ft,₹30.55 K/sq.ft,5 Year Old,Ready to move,Middleof 11 floors,Unfurnished,,DGS Sheetal Airwing,2.8 LacsAccess Zero Brokerage Properties,900 sq.ft,3,3,No Balcony,1 Covered Parking,"Looking for a good 3 BHK Flat in Santacruz East, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 5. Total number of floors is 11. Maintenance charges of this property is Rs 6509. This Flat is available forRead More"
1 BHK Flat,1.85 Cr,"Rose residency, Chhatrapati Shivaji International Airport Area, Vile Parle East, Mumbai",575 sq.ft,₹32.17 K/sq.ft,10 Year Old,Ready to move,Higherof 7 floors,,,1.9 LacsAccess Zero Brokerage Properties,1.85 Cr,1,2,1,More than a month ago,1 Open Parking,"Property for sale in Vile Parle East, Mumbai. This 1 BHK Flat is located in Mumbai's most promising location. It is on floor 7. The total number of floors in this building is 7. This Flat's price is Rs 1.85 Cr. Homebuyers will also need to pay Rs 100Read More"
1 BHK Flat,32.88 L,"Sunteck West World, Naigaon East, Mumbai",547 sq.ft,₹6.01 K/sq.ft,1 Years Old,Ready to move,Higherof 22 floors,,,Sunteck West World,"69,996Access Zero Brokerage Properties",1,1,3,18 days ago,1 Open Parking,"1 BHK Flat for sale in Mumbai. This property is in Naigaon East, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 17. The Read More"
2 BHK Flat,2.7 Cr,"DLH Mamta, D.N.Nagar, Andheri West, Mumbai",1060 sq.ft,₹25.47 K/sq.ft,2 Year Old,Ready to move,Lowerof 15 floors,Fully Furnished,,2.7 LacsAccess Zero Brokerage Properties,2.7 Cr,2,2,No Balcony,4 days ago,1 Covered Parking,"Available a very Spacious 2bhk furnished flat for sale in dlh mamta chs dn nagar andheri west, call for more deatails. More About This Property Looking for a 2 BHK Flat for sale in Mumbai? Your search ends here. Buy this 2 BHK property in Mumbai's fiRead More"
2 BHK Flat,2.0 Cr,"SV Patel Nagar, Andheri West, Mumbai",1000 sq.ft,₹20 K/sq.ft,10 Year Old,Ready to move,Higherof 7 floors,Unfurnished,,2.0 LacsAccess Zero Brokerage Properties,2.0 Cr,2,2,3,13 days ago,1 Open Parking,"2 BHK Flat for sale in Andheri West, Mumbai - contact now, for details about the most coveted property. This 2 BHK unit is available in Andheri West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in AndheRead More"
1 BHK Flat,1.15 Cr,"Raghav Paradise, Devala Pada, Borivali East, Mumbai",580 sq.ft,₹19.83 K/sq.ft,1 BHK,"17th Dec, 2025",Higherof 22 floors,Unfurnished,,Raghav Paradise,No ChargeAccess Zero Brokerage Properties,465 sq.ft,1,2,1,1 Covered and 1 Open Parking,"2 Basement + G + 23 Storey Tower With All Modern Amenities @ Borivali, PROJECT HIGHLIGHTS - All Flats Are With Balcony,10 Thousand Sqft Area For Aminities, Fully Air-conditioned Gymnasium, Terrace Garden, Swimming Pool,  Jogging Track etc.

The complRead More"
2 BHK Flat,1.72 Cr,"Paras EL Signora Building 3, Mhada Colony, Andheri West, Mumbai",600 sq.ft,₹28.67 K/sq.ft,Ready to move,Semi Furnished,Semi FurnishedFurnishing,,,Paras EL Signora Building 3,No ChargeAccess Zero Brokerage Properties,573 sq.ft,2,2,No Balcony,1 Covered Parking,"A 2 BHK Flat for sale in Andheri West, Mumbai. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Andheri West's most desired properties. Contact now for more information. This 2 BHK unit is on floor 12. There are 23 flooRead More"
1 BHK Flat,1.1 Cr,"Gurukrupa Marina Enclave, Kharodi Village, Malad West, Mumbai",652 sq.ft,₹16.87 K/sq.ft,2 Year Old,Ready to move,Middleof 23 floors,Semi Furnished,,Gurukrupa Marina Enclave,1.3 Lacs(Negotiable)Access Zero Brokerage Properties,452 sq.ft,1,2,2,1 Covered and 1 Open Parking,"Close to school college mall market railway station metro station hospital mandir etc  More About This Property A 1 BHK Flat for sale in Malad West, Mumbai. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Malad West's Read More"
1 BHK Flat,90.0 L,"KD Group Solitarie, Hanuman Nagar, Kandivali East, Mumbai",430 sq.ft,₹20.93 K/sq.ft,3 Year Old,Ready to move,Middleof 23 floors,Fully Furnished,,KD Group Solitarie,"90,000Access Zero Brokerage Properties",373 sq.ft,1,1,No Balcony,1 Open Parking,"DISTRESSE SALE READY TO MOVE IN WITH OC!
FULLY FURNISHED FLAT WITH ELECTRONICS More About This Property One of the finest property in Malad East is now available for sale. This is a 1 BHK Flat. Make it yours now. It is on floor 8. It is a 23 storeyedRead More"
1 BHK Flat,13.96 L,"SRA malad west, Evershine Nagar, Malad West, Mumbai",510 sq.ft,₹2.74 K/sq.ft,1 BHK,"30th Dec, 2028",Middleof 35 floors,Semi Furnished,,No ChargeAccess Zero Brokerage Properties,13.96 L,1,1,No Balcony,4 days ago,1 Open Parking,Sra project … 1 bhk carpet area 305 sq ft … g + 35 floor building … rate / 13.55 lakhs all inclusive … loan not possible.... position 4 to 5 year … payment in 2 parts … site visit for further details … Malad West Link Road .. More About This PropertyRead More
2 BHK Flat,68.0 L,"DB Ozone, Ketkipada, Dahisar East, Mumbai",848 sq.ft,₹8.02 K/sq.ft,6 Year Old,Ready to move,Middleof 19 floors,Unfurnished,,DB Ozone,"68,000Access Zero Brokerage Properties",560 sq.ft,2,2,2,No Parking,"2 BHK Flat for sale in Mira Bhayandar, Mumbai - contact now, for details about the most coveted property. This 2 BHK unit is available in Mira Bhayandar and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in MRead More"
1 BHK Flat,1.55 Cr,"Arkade Earth, Kanjurmarg East, Mumbai",742 sq.ft,₹20.89 K/sq.ft,3 Year Old,Ready to move,Middleof 20 floors,Semi Furnished,,Arkade Earth,1.6 LacsAccess Zero Brokerage Properties,571 sq.ft,1,1,No Balcony,1 Covered Parking,"A spacious 2 bhk flat for rent is available in kanjurmarg east in arkade earth, central mumbai suburbs. This flat consists of 2 bathrooms build in 750 sq.Ft. Super built-Up area. The flat consists of 2 bedrooms, built on 1000 sq.Ft. A separate space Read More"
1 BHK Flat,53.51 L,"New mahada tower Malad West, Jankalyan Nagar, Malad West, Mumbai",421 sq.ft,₹12.71 K/sq.ft,11 Year Old,Ready to move,Middleof 24 floors,Unfurnished,,"53,000Access Zero Brokerage Properties",53.51 L,1,1,No Balcony,16 days ago,1 Open Parking,"1 bhk 305 carpet flat available for sale in gatad society in budget. Ready possession. Loan facility available. More About This Property 1 BHK Flat for sale in Malad West, Mumbai - contact now, for details about the most coveted property. This 1 BHK Read More"
3 BHK Flat,3.36 Cr,"Wadhwa Imperial Heights, Tilak Nagar, Goregaon West, Mumbai",1665 sq.ft,₹20.19 K/sq.ft,10 Year Old,Ready to move,Higherof 43 floors,Fully Furnished,,3.5 Lacs(Negotiable)Access Zero Brokerage Properties,3.36 Cr,3,2,1,More than a month ago,2 Covered Parking,"3 BHK Flat for sale in Goregaon West, Mumbai - contact now, for details about the most coveted property. This 3 BHK unit is available in Goregaon West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in GorRead More"
3 BHK Flat,2.25 Cr,"Arvindo CHS Ltd, Sector 6 Charkop, Kandivali West, Mumbai",1250 sq.ft,₹18 K/sq.ft,15 Year Old,Ready to move,Lowerof 7 floors,Fully Furnished,,Arvindo CHS Ltd,2.0 LacsAccess Zero Brokerage Properties,1050 sq.ft,3,3,No Balcony,1 Open Parking,"Ultra luxurious & spacious furnished 3 bhk flat for sale at sector 8 charkop
2 bhk + 1 bhk = 3 bhk converted 
East west facing
Gated community
Open parking
Pricr 2.25 negotiable More About This Property A 3 BHK Flat for sale in Kandivali West, MumbaiRead More"
1 BHK Flat,1.35 Cr,"Chandivali, Powai, Mumbai",550 sq.ft,₹24.55 K/sq.ft,12 Year Old,Ready to move,Lowerof 15 floors,Semi Furnished,,Panchvati,1.4 LacsAccess Zero Brokerage Properties,450 sq.ft,1,2,No Balcony,1 Open Parking,"1 BHK Flat for sale in Powai, Mumbai with modern-day amenities. The Flat is in Powai which is a promising investment destination in Mumbai. This might be your chance to grab the best 1 BHK property for sale in Powai. The property is on floor 5 and thRead More"
2 BHK Flat,1.6 Cr,"D.N.Nagar, Andheri West, Mumbai",900 sq.ft,₹17.78 K/sq.ft,20 Year Old,Ready to move,Lowerof 14 floors,Unfurnished,,Madhurima,1.6 LacsAccess Zero Brokerage Properties,750 sq.ft,2,2,3,1 Open Parking,"It's a spacious 2 bhk apartment at a very lower price a very good opportunity for you to invest  More About This Property 2 BHK Flat for sale in Andheri West, Mumbai with modern-day amenities. The Flat is in Andheri West which is a promising investmeRead More"
3 BHK Flat,1.75 Cr,"Moroccan Cooperative, Aarey Colony, Goregaon East, Mumbai",1800 sq.ft,₹9.72 K/sq.ft,10 Year Old,Ready to move,Middleof 20 floors,Fully Furnished,,Moroccan Cooperative,3.5 Lacs(Negotiable)Access Zero Brokerage Properties,1425 sq.ft,3,3,1,2 Covered and 1 Open Parking,"3 bhk property available for sale in Moroccan, Aarey Milk Colony, Royal Palms. More About This Property Best 3 BHK Flat for modern-day lifestyle is now available for sale. Grab this 3 BHK property for sale in one of Mumbai's top location, Goregaon EaRead More"
1 BHK Flat,21.5 L,"Virat Nagar, Virar West, Mumbai",668 sq.ft,₹3.22 K/sq.ft,7 Year Old,Ready to move,Higherof 7 floors,Fully Furnished,,"25,000(Negotiable)Access Zero Brokerage Properties",21.5 L,1,1,2,9 days ago,1 Open Parking,"Property for sale in Virar West, Mumbai. This 1 BHK Flat is located in Mumbai's most promising location. It is on floor 6. The total number of floors in this building is 7. This Flat's price is Rs 21.5 L. Homebuyers will also need to pay Rs 700 towarRead More"
2 BHK Flat,1.35 Cr,"Vardhman Empire, Dominic Colony, Malad West, Mumbai",1090 sq.ft,₹12.38 K/sq.ft,7 Year Old,Ready to move,Middleof 9 floors,Semi Furnished,,Vardhman Empire,No ChargeAccess Zero Brokerage Properties,740 sq.ft,2,1,1,1 Covered and 1 Open Parking,One of the finest property in Malad West is now available for sale. This is a 2 BHK Flat. Make it yours now. It is on floor 4. It is a 9 storeyed building. The price of this Flat is Rs 1.35 Cr. Other charges when you move into this property include mRead More
2 BHK Flat,80.0 L,"Palm Island 7, Aarey Colony, Goregaon East, Mumbai",972 sq.ft,₹8.23 K/sq.ft,10 Year Old,Ready to move,Higherof 7 floors,Fully Furnished,,Palm Island 7,1.6 LacsAccess Zero Brokerage Properties,750 sq.ft,2,2,No Balcony,1 Open Parking,"Check out this 2 BHK Flat for sale in Goregaon East, Mumbai. This 2 BHK Flat is perfect for a modern-day lifestyle. Goregaon East is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. It iRead More"
1 RK Flat,58.0 L,"Indira Nagar, Ghatkopar West, Mumbai",300 sq.ft,₹19.33 K/sq.ft,15 Year Old,Ready to move,Higherof 7 floors,Unfurnished,,Jay Laxmi Complex,No ChargeAccess Zero Brokerage Properties,255 sq.ft,1,1,1,1 Open Parking,"The property is vaastu compliant., good locality, With amenities,  gas pipe line , 24x7 water, 24x7 security, Car parking,  Power backup.
 Connectivity to 2 mines walk from nearest market and school, Multiplex, Shopping mall,	
 10-15 minutes walking Read More"
1 BHK Flat,1.1 Cr,"Om shubhamkaroti, Siddharth Nagar, Ghatkopar West, Mumbai",550 sq.ft,₹20 K/sq.ft,20 Year Old,Ready to move,Lowerof 4 floors,Semi Furnished,,2.0 Lacs(Negotiable)Access Zero Brokerage Properties,1.1 Cr,1,1,No Balcony,More than a month ago,2 Open Parking,"Check out this 1 BHK Flat for sale in Ghatkopar West, Mumbai. This 1 BHK Flat is perfect for a modern-day lifestyle. Ghatkopar West is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. ItRead More"
1 BHK Flat,53.0 L,"Royal Palms Estate, Aarey Colony, Goregaon East, Mumbai",540 sq.ft,₹9.81 K/sq.ft,8 Year Old,Ready to move,Lowerof 8 floors,Semi Furnished,,Royal Palms Estate,"60,000(Negotiable)Access Zero Brokerage Properties",380 sq.ft,1,1,1,1 Open Parking,"1bhk furnished flat available for sale in royal palms at a good society good building good condition ply area cctv camera market school hospital all facilities  More About This Property 1 BHK Flat for sale in Goregaon East, Mumbai - contact now, for Read More"
1 RK Flat,52.0 L,"Kalina, Santacruz East, Mumbai",300 sq.ft,₹17.33 K/sq.ft,17 Year Old,Ready to move,Middleof 7 floors,Semi Furnished,,Pride Of Kalina,No ChargeAccess Zero Brokerage Properties,260 sq.ft,1,1,No Balcony,No Parking,"Best 1 RK Flat for modern-day lifestyle is now available for sale. Grab this 1 RK property for sale in one of Mumbai's top location, Santacruz East. It is situated on floor 4. The total number of floors in this Flat is 7. The property price of this uRead More"
1 BHK Flat,1.5 Cr,"Hiranandani Regent Hill C D And E Wing, Hiranandani Gardens, Powai, Mumbai",650 sq.ft,₹23.08 K/sq.ft,2 Year Old,Ready to move,Higherof 23 floors,Semi Furnished,,Hiranandani Regent Hill C D And E Wing,1.5 LacsAccess Zero Brokerage Properties,379 sq.ft,1,2,No Balcony,1 Covered Parking,"Exclusive 1 Bhk apartment available For Sale , its semi Furnished apartment ,property available for Higher floor with one car parking , its vastu Compliant apartment , located in Hiranandani Regent Hill Building comes with all Modern Amenities in thiRead More"
3 BHK Flat,2.9 Cr,"Wadhwa Atmosphere O2, P&T Staff Colony, Mulund West, Mumbai",1300 sq.ft,₹22.31 K/sq.ft,Ready to move,South facing,South facingFacing,,,Wadhwa Atmosphere O2,2.9 LacsAccess Zero Brokerage Properties,975 sq.ft,3,2,No Balcony,2 Covered and 1 Open Parking,"3 bhk apartment for sale in one of premium complex of mulund west known as 'WADHWA ATMOSPHERE O2', Complex has all the amenities like theatre, swimming pool, squash court etc., For more details please contact us. More About This Property Property forRead More"
4 BHK Flat,12.0 Cr,"Lodha Trump Tower Mumbai, Lower Parel, Mumbai",1800 sq.ft,₹66.67 K/sq.ft,2 Year Old,Ready to move,Middleof 78 floors,Semi Furnished,,Lodha Trump Tower Mumbai,12.0 LacsAccess Zero Brokerage Properties,1600 sq.ft,4,3,No Balcony,1 Covered and 1 Open Parking,"Lodha Trump Tower in Worli, Mumbai South is a ready-to-move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. ThRead More"
2 BHK Flat,2.54 Cr,"Shapoorji Pallonji Vicinia, Sainath Nagar, Powai, Mumbai",1250 sq.ft,₹20.32 K/sq.ft,1 Years Old,Ready to move,Higherof 22 floors,Semi Furnished,,Shapoorji Pallonji Vicinia,2.5 Lacs(Negotiable)Access Zero Brokerage Properties,888 sq.ft,2,2,1,1 Covered and 1 Open Parking,"This 2 bhk flat is located in shapoorji pallonji vicinia, which houses some of the most spacious flats in chandivali, central mumbai. The flat is facing the north direction. The flat is over 1200 sq.Ft. Super built up area and comes with 2 bedroom(s)Read More"
3 BHK Flat,2.92 Cr,"Runwal Forest Tower 5 To 8, Kanjurmarg West, Mumbai",1081 sq.ft,₹27.01 K/sq.ft,3 Year Old,Ready to move,Middleof 48 floors,Semi Furnished,,Runwal Forest Tower 5 To 8,2.9 LacsAccess Zero Brokerage Properties,781 sq.ft,3,3,1,2 Covered Parking,"This lovely 3 BHK apartment/flat in Kanjurmarg (west) is available for sale in one of Central Mumbai Suburbs's most popular projects, Runwal Forests. Constructed on a Built Up area of 1729 sq.ft., the flat comprises 3 bedroom(s), 2 bathrooms and 1 baRead More"
2 BHK Flat,2.49 Cr,"Harshail Anchorage, I C Colony, Borivali West, Mumbai",1050 sq.ft,₹23.71 K/sq.ft,14 Year Old,Ready to move,Higherof 7 floors,Fully Furnished,,Harshail Anchorage,2.5 LacsAccess Zero Brokerage Properties,770 sq.ft,2,2,2,1 Covered Parking,"2 BHK Flat for sale in Borivali West, Mumbai with modern-day amenities. The Flat is in Borivali West which is a promising investment destination in Mumbai. This might be your chance to grab the best 2 BHK property for sale in Borivali West. The propeRead More"
3 BHK Flat,2.3 Cr,"Kandarpada, Dahisar West, Mumbai",1150 sq.ft,₹20 K/sq.ft,12 Year Old,Ready to move,Middleof 13 floors,Unfurnished,,2.3 LacsAccess Zero Brokerage Properties,2.3 Cr,3,3,3,More than a month ago,1 Covered Parking,"This 3 bhk apt  for sale in jayram Hight near mcdownld dahisar west 4 balcony and one coverd parking with clear title  More About This Property 3 BHK Flat for sale in Dahisar West, Mumbai with modern-day amenities. The Flat is in Dahisar West which iRead More"
2 BHK Flat,4.9 Cr,"Madhuban Worli, BDD Chawls Worli, Worli, Mumbai",900 sq.ft,₹54.44 K/sq.ft,25 Year Old,Ready to move,Higherof 8 floors,,,4.9 LacsAccess Zero Brokerage Properties,4.9 Cr,2,2,No Balcony,11 days ago,1 Covered Parking,"2 BHK Flat for sale in Worli, Mumbai with modern-day amenities. The Flat is in Worli which is a promising investment destination in Mumbai. This might be your chance to grab the best 2 BHK property for sale in Worli. The property is on floor 6 and thRead More"
